ablatives	ablative:ablative_A s:+PL
deviancies	devi:deviate_V ~:ant_s anci:ancy_s es:+PL
differential	differ:differ_V ent:ent_s ~:ence_s ial:ial_s, differ:differ_V ent:ent_s ~:ence_s ial:ial_s
diking	dik:dike_N ing:+PCP1
diplomatically	diplomat:diplomat_N ic:ic_s ally:ally_s
disorders	dis:dis_p order:order_V s:+PL, dis:dis_p order:order_V s:+3SG
disorientation	dis:dis_p orient:orient_A at:ate_s ion:ion_s, dis:dis_p orientat:orientate_V ion:ion_s
dispassionate	dis:dis_p passion:passion_N ate:ate_s
disposing	dispos:dispose_V ing:+PCP1
dissolute	dissolute:dissolute_A
divorcee	divorc:divorce_V ee:ee_s
domesticating	domestic:domestic_A at:ate_s ing:+PCP1
dominated	dominat:dominate_V ed:+PAST
dos'	do:do_N s:+PL ':+GEN
double-clutch	double:double_A -:~ clutch:clutch_V
dressings'	dressing:dressing_V s:+PL ':+GEN
drips	drip:drip_V s:+PL, drip:drip_V s:+3SG
drumheads	drum:drum_N head:head_N s:+PL
drunkenly	drunk:drink_V en:en_s ly:ly_s
dubbin	dubbin:dubbin_N, dubbin:dubbin_N
dudes	dude:dude_N s:+PL
duellist's	duell:duel_N ist:ist_s 's:+GEN
dumps	dump:dump_V s:+PL, dump:dump_V s:+3SG, dumps:dumps_N
dutifully	duti:duty_N ful:ful_s ly:ly_s
dynamics'	dynamic:dynamic_A s:+PL ':+GEN, dynamic:dynamic_A s:s_s ':+GEN
earplugs	ear:ear_N plug:plug_N s:+PL
eaves	eaves:eaves_N
eel	eel:eel_N
eels	eel:eel_N s:+PL
egotistically	egot:ego_N ~:ism_s ist:ist_s ic:ic_s ally:ally_s, egot:ego_N ~:ism_s ist:ist_s ical:ical_s ly:ly_s
electioneering	elect:elect_A ion:ion_s eer:eer_s ing:+PCP1, electioneering:electioneering_V
elevations	elevat:elevate_V ion:ion_s s:+PL
elite's	elite:elite_N 's:+GEN
embossing	em:em_p boss:boss_N ing:+PCP1
ends'	end:end_N s:+PL ':+GEN
entitlement	entitle:entitle_V ment:ment_s
entitling	entitl:entitle_V ing:+PCP1
equalizes	equal:equal_A ize:ize_s s:+3SG
equerry's	equerry:equerry_N 's:+GEN
equipped	equipp:equip_V ed:+PAST, equipped:equipped_V
eschewed	eschew:eschew_V ed:+PAST
espouses	espouse:espouse_V s:+3SG
estimator	estimat:estimate_V or:or_s
ewers'	ewer:ewer_N s:+PL ':+GEN
ex-serviceman	ex:ex_p -:~ serv:serve_V ice:ice_s man:man_N
exculpation	exculpat:exculpate_V ion:ion_s
exit	exit:exit_V, exit:exit_V
exorbitance	exorbit:exorbitant_A ance:ance_s
expressway	express:express_A way:way_N
extreme's	extreme:extreme_A 's:+GEN
fairs	fair:fair_N s:+PL
fairyland	fairy:fairy_N land:land_N
fanciers'	fanci:fancy_N er:er_s s:+PL ':+GEN
farmers	farm:farm_N er:er_s s:+PL
faster	fast:fast_A er:+CMP, fast:fast_A er:+CMP
fault's	fault:fault_N 's:+GEN
fawn	fawn:fawn_N, fawn:fawn_V
feasts	feast:feast_N s:+PL, feast:feast_N s:+3SG
fences	fence:fence_N s:+PL, fence:fence_N s:+3SG
ferment	ferment:ferment_V, ferment:ferment_V
fielder's	field:field_N er:er_s 's:+GEN
fig-leaf	fig:fig_N -:~ leaf:leaf_N
films	film:film_N s:+PL, film:film_N s:+3SG
finalizes	final:final_A ize:ize_s s:+3SG
fire-eater	fire:fire_N -:~ eat:eat_V er:er_s
firepower	fire:fire_N power:power_N
fireproofed	fire:fire_N proof:proof_s ed:+PAST
firestorms	fire:fire_N storm:storm_N s:+PL
fizzled	fizz:fizz_V l:le_s ed:+PAST
flambeau	flambeau:flambeau_N
fled	fled:flee_V ~:+PAST
flirting	flirt:flirt_V ing:+PCP1
flitted	flitt:flit_V ed:+PAST
floes	floe:floe_N s:+PL
fluffy	fluff:fluff_N y:y_s
fluid's	fluid:fluid_A 's:+GEN
flurried	flurri:flurry_N ed:+PAST
footfalls	foot:foot_N fall:fall_V s:+PL
foppish	fopp:fop_N ish:ish_s
four-poster	four:four_Q -:~ post:post_N er:er_s
four-wheeler	four:four_Q -:~ wheel:wheel_N er:er_s
freighted	freight:freight_N ed:+PAST
freshman	fresh:fresh_A man:man_N
frisian	frisian:Frisian_N
frivolities	frivol:frivolous_A iti:ity_s es:+PL
frivolous	frivolous:frivolous_A
frolicsome	frolic:frolic_V some:some_s
frowns	frown:frown_V s:+PL, frown:frown_V s:+3SG
frugality	frugal:frugal_A ity:ity_s
furthering	further:further_A ing:+PCP1
galley's	galley:galley_N 's:+GEN
gamecocks	game:game_N cock:cock_N s:+PL
gangers	gang:gang_N er:er_s s:+PL
garbage-can	garbage:garbage_N -:~ can:can_N
gasify	gas:gas_N ify:ify_s
gaslight	gas:gas_N light:light_N
gatecrasher	gate:gate_N crash:crash_N er:er_s
geese	geese:goose_N ~:+PL
geldings	gelding:gelding_V s:+PL
germans'	german:German_A s:+PL ':+GEN
giant	giant:giant_N
giraffe's	giraffe:giraffe_N 's:+GEN
giving	giv:give_V ing:+PCP1
gladiator	gladiator:gladiator_N
glides	glide:glide_V s:+PL, glide:glide_V s:+3SG
glowering	glower:glower_V ing:+PCP1
glows	glow:glow_V s:+3SG
godparents'	god:God_N parent:parent_N s:+PL ':+GEN
gored	gor:gore_N ed:ed_s, gor:gore_V ed:+PAST
gourmands	gourmand:gourmand_N s:+PL
grandad	gran:grand_A dad:dad_N
graphical	graph:graph_N ical:ical_s
griffon	griffon:griffon_N
gross'	gross:gross_A ':+GEN
growers'	grow:grow_V er:er_s s:+PL ':+GEN
guard	guard:guard_N, guard:guard_N
gull's	gull:gull_N 's:+GEN, gull:gull_V 's:+GEN
habitues	habitue:habitue_N s:+PL
hagiographies	hagiographi:hagiography_N es:+PL
haloes	halo:halo_N es:+PL
hamlets'	hamlet:hamlet_N s:+PL ':+GEN
handmaid's	hand:hand_N maid:maid_N 's:+GEN
handpick	hand:hand_N pick:pick_V
handsaws	hand:hand_N saw:saw_N s:+PL
hap's	hap:hap_N 's:+GEN
harbours	harbour:harbour_N s:+PL, harbour:harbour_N s:+3SG
hardbacked	hard:hard_A back:back_N ed:ed_s
harridans	harridan:harridan_N s:+PL
headboards	head:head_N board:board_N s:+PL
headlamp	head:head_N lamp:lamp_N
healing	heal:heal_V ing:+PCP1, healing:healing_V
heap	heap:heap_N, heap:heap_N
heartbroken	heart:heart_N broken:broken_V
heartburn	heart:heart_N burn:burn_V
heavies	heav:heave_V i:y_s es:+PL
hebraic	hebra:Hebrew_A ic:ic_s
helplessness	help:help_V less:less_s ness:ness_s
hemispheres	hemisphere:hemisphere_N s:+PL
heron	heron:heron_N
hesse's	hesse:Hesse_N 's:+GEN
hew	hew:hew_V
hi-fi	hi:high_A -:~ fi:fidelity_N, hi:high_A -:~ fi:fidelity_N
hitches	hitch:hitch_V es:+PL, hitch:hitch_V es:+3SG
hitchhiker's	hitch:hitch_V hik:hike_V er:er_s 's:+GEN
hoarfrost	hoar:hoar_A frost:frost_N
homework's	home:home_N work:work_V 's:+GEN
homogenizes	homogenize:homogenize_V s:+3SG
hooker's	hook:hook_N er:er_s 's:+GEN
hooks'	hook:hook_N s:+PL ':+GEN
hookworms	hook:hook_N worm:worm_N s:+PL
horrid	horrid:horrid_A
horrifically	horr:horror_N if:ify_s ic:ic_s ally:ally_s
housekeeping	house:house_N keeping:keeping_V
hugging	hugg:hug_V ing:+PCP1
hydroponic	hydroponic:hydroponic_A
hydrotherapy	hydro:hydro_p therapy:therapy_N
hyperbolical	hyperbol:hyperbola_N ical:ical_s, hyperbol:hyperbole_N ical:ical_s
idem	idem:idem_O
idolizing	idol:idol_N iz:ize_s ing:+PCP1
ignominiously	ignomini:ignominy_N ous:ous_s ly:ly_s
ill-omened	ill:ill_A -:~ omen:omen_N ed:ed_s
illness'	ill:ill_A ness:ness_s ':+GEN
immutably	im:im_p mutab:mutable_A ly:ly_s
impersonators	im:im_p person:person_N at:ate_s or:or_s s:+PL
imponderable	im:im_p ponder:ponder_V able:able_s, im:im_p ponder:ponder_V able:able_s
impregnable	impregnable:impregnable_A
improvised	improvis:improvise_V ed:+PAST
inaccurately	in:in_p accurate:accurate_A ly:ly_s
incipient	incipient:incipient_A
incumbency	incumb:incumbent_A ency:ency_s
indignities'	in:in_p digniti:dignity_N es:+PL ':+GEN
infelicities	in:in_p felic:felicity_N ~:ous_s iti:ity_s es:+PL
infidels	infidel:infidel_N s:+PL
infinitives	infinitive:infinitive_A s:+PL
ingots'	ingot:ingot_N s:+PL ':+GEN
ingredients	ingredient:ingredient_N s:+PL
instigators	instigat:instigate_V or:or_s s:+PL
institutional	institut:institute_V ion:ion_s al:al_s
insulation's	insulat:insulate_V ion:ion_s 's:+GEN
insures	in:in_p sure:sure_A s:+3SG
interchanged	inter:inter_p chang:change_V ed:+PAST
intermediary's	inter:inter_p medi:mediate_V ary:ary_s 's:+GEN
interposing	inter:inter_p pos:pose_V ing:+PCP1
intimating	intimat:intimate_A ing:+PCP1
inundate	inundate:inundate_V
invalidated	in:in_p valid:valid_A at:ate_s ed:+PAST
inviolate	in:in_p violate:violate_V
ironclad	iron:iron_N clad:clad_V, iron:iron_N clad:clad_V
irony's	irony:irony_N 's:+GEN
jarring	jarr:jar_V ing:+PCP1, jarring:jarring_V
jell-o's	jell-o:Jell-O_N 's:+GEN
joggling	jogg:jog_V l:le_s ing:+PCP1
joinery	join:join_V ery:ery_s
joker	jok:joke_V er:er_s
jollifications	joll:jolly_A ific:ify_s ation:ation_s s:+PL
joyless	joy:joy_N less:less_s
junctions	junction:junction_N s:+PL
jungles	jungle:jungle_N s:+PL
junks	junk:junk_N s:+PL, junk:junk_N s:+3SG
katydid	katydid:katydid_N
keelhauls	keel:keel_N haul:haul_V s:+3SG
khan's	khan:khan_N 's:+GEN
kiddies	kidd:kid_N i:y_s es:+PL
kids	kid:kid_N s:+PL, kid:kid_V s:+3SG
kip's	kip:kip_V 's:+GEN
kirks'	kirk:kirk_N s:+PL ':+GEN
kitchenette's	kitchen:kitchen_N ette:ette_s 's:+GEN
kneads	knead:knead_V s:+3SG
knesset	knesset:Knesset_N
knife's	knife:knife_N 's:+GEN
knocks'	knock:knock_V s:+PL ':+GEN
knuckles'	knuckle:knuckle_N s:+PL ':+GEN
koran	koran:Koran_N
laboratories'	laboratori:laboratory_N es:+PL ':+GEN
lachrymose	lachrymose:lachrymose_A
ladybug	lady:lady_N bug:bug_N
lapwing	lap:lap_V wing:wing_N
larval	larv:larva_N al:al_s
leftist	left:left_A ist:ist_s, left:left_A ist:ist_s
legacies	lega:legate_N ci:cy_s es:+PL
leggings	legg:leg_N ing:ing_s s:s_s
lessens	less:less_O en:en_s s:+3SG
libber	libb:liberate_V ~:ion_s er:er_s
liberal's	liberal:Liberal_N 's:+GEN, liberal:liberal_A 's:+GEN
licked	lick:lick_V ed:+PAST
lifeboats	life:life_N boat:boat_N s:+PL
linden	linden:linden_N
lineman	line:line_N man:man_N
lines	line:line_N s:+PL, line:line_N s:+3SG, lines:lines_N
linguist's	linguist:linguist_N 's:+GEN
liquefying	liquefy:liquefy_V ing:+PCP1
litigates	litigate:litigate_V s:+3SG
lofted	loft:loft_N ed:+PAST, lofted:lofted_V
long-time	long:long_A -:~ time:time_N
longbow	long:long_A bow:bow_V
loon's	loon:loon_N 's:+GEN
lotus's	lotus:lotus_N 's:+GEN
louvred	louvr:louvre_N ed:ed_s
louvres	louvre:louvre_N s:+PL
low-keyed	low:low_A -:~ key:key_N ed:ed_s
luckless	luck:luck_N less:less_s
lurchers	lurch:lurch_N er:er_s s:+PL
lustful	lust:lust_N ful:ful_s
lye	lye:lye_N
machismo	machismo:machismo_N
magistrates'	magistrate:magistrate_N s:+PL ':+GEN
malnutrition	mal:mal_p nutrition:nutrition_N
maltster	malt:malt_N ster:ster_s
malversation	malversation:malversation_N
mandate's	mandate:mandate_N 's:+GEN
mangling	mangl:mangle_N ing:+PCP1, mangl:mangle_V ing:+PCP1
manicure	manicure:manicure_N, manicure:manicure_N
manicurist's	manicur:manicure_N ist:ist_s 's:+GEN
mantels	mantel:mantel_N s:+PL
maroon	maroon:maroon_A, maroon:maroon_A, maroon:maroon_A
maroons	maroon:maroon_A s:+PL, maroon:maroon_A s:+3SG
mascot	mascot:mascot_N
mastheads	mast:mast_N head:head_N s:+PL
mathematician's	mathematic:mathematics_N ian:ian_s 's:+GEN
matriarchal	matriarch:matriarch_N al:al_s
maxis	maxi:maximum_A s:+PL
meadows'	meadow:meadow_N s:+PL ':+GEN
meditates	meditate:meditate_V s:+3SG
mediterranean	mediterranean:Mediterranean_N, mediterranean:Mediterranean_N
memento's	memento:memento_N 's:+GEN
menacing	menac:menace_V ing:+PCP1, menacing:menacing_V
merely	mere:mere_A ly:ly_s
methods	method:method_N s:+PL
midsummer	mid:mid_p summer:summer_N
migraines	migraine:migraine_N s:+PL
militiamen	militia:militia_N men:man_N ~:+PL
mind-reader	mind:mind_N -:~ read:read_V er:er_s
ministration	ministr:minister_N ~:to_P ation:ation_s
misappropriate	mis:mis_p appropriate:appropriate_A
misfits	mis:mis_p fit:fit_A s:+PL
misgivings'	mis:mis_p giving:giving_V s:+PL ':+GEN
misled	mis:mis_p led:lead_V ~:+PAST
misunderstanding	mis:mis_p understand:understand_V ing:+PCP1, misunderstanding:misunderstanding_V
mitigate	mitigate:mitigate_V
mitts	mitt:mitt_N s:+PL
mixtures	mixt:mix_V ure:ure_s s:+PL
modelling	modell:model_N ing:+PCP1, modelling:modelling_V
modifications'	modific:modify_V ation:ation_s s:+PL ':+GEN
moistening	moist:moist_A en:en_s ing:+PCP1
moodiness	mood:mood_N i:y_s ness:ness_s
mooed	moo:moo_V ed:+PAST
morn's	morn:morn_N 's:+GEN
mosque	mosque:mosque_N
murals'	mural:mural_A s:+PL ':+GEN
mushier	mush:mush_N i:y_s er:+CMP
mussed	muss:muss_N ed:+PAST
muzzle's	muzzle:muzzle_N 's:+GEN
muzzled	muzzl:muzzle_N ed:+PAST
narrowest	narrow:narrow_A est:+SUP
nasal	nasal:nasal_A, nasal:nasal_A
natures	nature:nature_N s:+PL
navies'	navi:navy_N es:+PL ':+GEN
needlewoman	needle:needle_N woman:woman_N
negotiations	negotiat:negotiate_V ion:ion_s s:+PL
neighbour's	neighbour:neighbour_N 's:+GEN
net's	net:net_A 's:+GEN
nicked	nick:nick_V ed:+PAST
nihilistic	nihil:nihilism_N ist:ist_s ic:ic_s
nihilists	nihil:nihilism_N ist:ist_s s:+PL
ninnies	ninni:ninny_N es:+PL
nipples	nipple:nipple_N s:+PL
nobbling	nobbl:nobble_V ing:+PCP1
nobles	noble:noble_A s:+PL
non-profit-making	non-profit-making:non-profit-making_A
nostalgia	nostalgia:nostalgia_N
nourishes	nourish:nourish_V es:+3SG
nuisances'	nuisance:nuisance_N s:+PL ':+GEN
numberplates	number:number_V plate:plate_N s:+PL
numerable	numer:number_V able:able_s
numskulls	num:numb_A skull:skull_N s:+PL
nut	nut:nut_N, nut:nut_N
oaks	oak:oak_N s:+PL
oboe	oboe:oboe_N
off-white's	off:off_B -:~ white:white_A 's:+GEN
officeholders'	office:office_N hold:hold_V er:er_s s:+PL ':+GEN
omnivorous	omnivorous:omnivorous_A
opinionated	opin:opine_V ion:ion_s at:ate_s ed:ed_s
oppressor	oppress:oppress_V or:or_s
orbs	orb:orb_N s:+PL
ordains	ordain:ordain_V s:+3SG
orderliness	order:order_V li:ly_s ness:ness_s
outcomes	out:come_V come:out_B s:+PL
outlawing	out:out_p law:law_N ing:+PCP1
outworks	out:out_p work:work_V s:+PL
overbalanced	over:over_p balanc:balance_V ed:+PAST
overburden	over:over_p burden:burden_N, over:over_p burden:burden_N
overlapping	over:over_P lapp:lap_V ing:+PCP1
overstock	over:over_p stock:stock_V
overthrow	over:over_P throw:throw_V, over:over_P throw:throw_V
palish	pal:pale_A ish:ish_s
pamphlet's	pamphlet:pamphlet_N 's:+GEN
panhandling	pan:pan_N handl:handle_V ing:+PCP1
pantheons	pantheon:pantheon_N s:+PL
paprika	paprika:paprika_N
paragon	paragon:paragon_N
parasols	parasol:parasol_N s:+PL
park	park:park_N, park:park_N
parliaments'	parliament:parliament_N s:+PL ':+GEN
patriot's	patriot:patriot_N 's:+GEN
pea	pea:pea_N
peel's	peel:peel_V 's:+GEN
pegged	pegg:peg_N ed:+PAST
pellet	pellet:pellet_N
penetrates	penetrate:penetrate_V s:+3SG
pensioner	pension:pension_N er:er_s
perceptibly	percept:perceive_V ib:ible_s ly:ly_s
perches'	perch:perch_N es:+PL ':+GEN
perforated	perforat:perforate_V ed:+PAST
personas	persona:persona_N s:+PL
pervading	pervad:pervade_V ing:+PCP1
pests'	pest:pest_N s:+PL ':+GEN
phaetons	phaeton:phaeton_N s:+PL
phi's	phi:phi_N 's:+GEN
photo's	photo:photo_p ~:graph_s 's:+GEN
photocopier	photo:photo_p copi:copy_V er:er_s
photogravure	photo:photo_p gravure:gravure_N
phrenologists	phrenolog:phrenology_N ist:ist_s s:+PL
physiognomy	physiognomy:physiognomy_N
pianolas	pianola:Pianola_N s:+PL
pianos	piano:piano_A s:+PL
picketed	picket:picket_N ed:+PAST
pieta	pieta:pieta_N
piglet	pig:pig_N let:let_s
pinkish	pink:pink_A ish:ish_s
pithiest	pith:pith_N i:y_s est:+SUP
pizza	pizza:pizza_N
placement	place:place_N ment:ment_s
plaice	plaice:plaice_N
plaids	plaid:plaid_N s:+PL
pled	pled:plead_V ~:+PAST
plenitude	plenitude:plenitude_N
plight	plight:plight_V, plight:plight_V
plopped	plopp:plop_N ed:+PAST
plucky	pluck:pluck_V y:y_s
plumbed	plumb:plumb_N ed:+PAST
plushest	plush:plush_N est:+SUP
polling-booth	polling:polling_V -:~ booth:booth_N
poops'	poop:poop_N s:+PL ':+GEN
poppycock	poppy:poppy_N cock:cock_N
porn's	porn:pornography_N 's:+GEN
poser	pos:pose_V er:er_s
pottages	pott:pot_N age:age_s s:+PL
powered	power:power_N ed:+PAST, power:power_N ed:ed_s
praises	praise:praise_V s:+PL, praise:praise_V s:+3SG, praises:praises_N
prearrangements	pre:pre_p arrange:arrange_V ment:ment_s s:+PL
precarious	precarious:precarious_A
precedes	precede:precede_V s:+3SG
predictions	predict:predict_V ion:ion_s s:+PL
predictor	predict:predict_V or:or_s
prefect's	prefect:prefect_N 's:+GEN
premises	premise:premise_N s:+PL, premise:premise_N s:+3SG, premises:premises_N
prepackaged	pre:pre_p pack:pack_N ag:age_s ed:+PAST
prepared	prepar:prepare_V ed:+PAST, prepared:prepared_V
presence	pres:present_A ence:ence_s
pressured	press:press_V ur:ure_s ed:+PAST
prevaricators	prevaricat:prevaricate_V or:or_s s:+PL
prevented	prevent:prevent_V ed:+PAST
primaries	prim:prime_A ari:ary_s es:+PL
prizefighters	prize:prize_N fight:fight_V er:er_s s:+PL
probabilities	probabil:probable_A iti:ity_s es:+PL
profaning	profan:profane_A ing:+PCP1
prognoses	prognoses:prognosis_N ~:+PL
projectionists'	project:project_V ion:ion_s ist:ist_s s:+PL ':+GEN
propagator	propagat:propagate_V or:or_s
prophesy	prophesy:prophesy_V
propjet	~:turbo_p prop:propel_V ~:er_s jet:jet_N
prorogation	prorog:prorogue_V ation:ation_s
proselytizes	proselyt:proselyte_N ize:ize_s s:+3SG
protestant's	protest:protest_V ant:ant_s 's:+GEN
proudest	proud:proud_A est:+SUP
provokingly	provoking:provoking_V ly:ly_s
psyche	psyche:psyche_N
psychiatrist's	psychiatr:psychiatry_N ist:ist_s 's:+GEN
puce's	puce:puce_N 's:+GEN
pugnacity	pugnac:pugnacious_A ity:ity_s
pulled	pull:pull_V ed:+PAST
pullman	pullman:Pullman_N
pulsed	puls:pulse_V ed:+PAST
punch	punch:Punch_N, punch:punch_V, punch:punch_V
punic	punic:Punic_A
punishment	punish:punish_V ment:ment_s
puns	pun:pun_V s:+PL, pun:pun_V s:+3SG
puritanism	pur:pure_A it:ity_s an:an_s ism:ism_N, pur:pure_A it:ity_s an:an_s ism:ism_s
purport	purport:purport_V, purport:purport_V
push-ups	push:push_V -:~ up:up_B s:+PL
quake's	quake:quake_V 's:+GEN
quangos	quango:quango_? s:+PL
quasar's	quas:quasi_p ar:stellar_A 's:+GEN
quieter	quiet:quiet_A er:+CMP
quinine's	quinine:quinine_N 's:+GEN
quixote	quixote:Quixote_N
rack's	rack:rack_N 's:+GEN
rail-car	rail:rail_V -:~ car:car_N
railway's	rail:rail_V way:way_N 's:+GEN
raisins	raisin:raisin_N s:+PL
rationalist	rational:rational_A ~:ism_s ist:ist_s, rational:rational_A ~:ism_s ist:ist_s
rationalization	rational:rational_A iz:ize_s ation:ation_s
ravine	ravine:ravine_N
realigned	re:re_p align:align_V ed:+PAST
realty's	real:real_A ty:ty_s 's:+GEN
rebinds	re:re_p bind:bind_V s:+3SG
rebuilding	re:re_p build:build_V ing:+PCP1
recommendations'	re:re_p commend:commend_V ation:ation_s s:+PL ':+GEN
reconciliations	re:re_p conciliat:conciliate_V ion:ion_s s:+PL, reconcili:reconcile_V ation:ation_s s:+PL
recount	re:re_p count:count_V, re:re_p count:count_V
recrudescence	recrudesc:recrudescent_A ence:ence_s
rectangles	rectangle:rectangle_N s:+PL
redressed	re:re_p dress:dress_N ed:+PAST
reek's	reek:reek_V 's:+GEN
reface	re:re_p face:face_N
referendum	referendum:referendum_N
regalia	regalia:regalia_N
region	region:region_N
relics	relic:relic_N s:+PL, relics:relics_N
reminder	re:re_p mind:mind_N er:er_s
reminds	re:re_p mind:mind_N s:+3SG
remorsefully	remorse:remorse_N ful:ful_s ly:ly_s
rentals'	rent:rent_V al:al_s s:+PL ':+GEN
repatriating	repatriat:repatriate_V ing:+PCP1
repealing	repeal:repeal_V ing:+PCP1
repellent	repell:repel_V ent:ent_s, repell:repel_V ent:ent_s
reposed	re:re_p pos:pose_V ed:+PAST
republics	republic:republic_N s:+PL
reruns'	re:re_p run:run_V s:+PL ':+GEN
reserved	reserv:reserve_V ed:+PAST, reserved:reserved_V
reshuffling	re:re_p shuffl:shuffle_V ing:+PCP1
resists	resist:resist_V s:+3SG
resonant	reson:resonate_V ant:ant_s
respecters	respect:respect_V er:er_s s:+PL
responsibilities	respons:respond_V ibil:ible_s iti:ity_s es:+PL
retook	re:re_p took:take_V ~:+PAST
returns'	re:re_p turn:turn_V s:+PL ':+GEN, returns:returns_N ':+GEN
revels'	revel:revel_V s:+PL ':+GEN
revere	revere:revere_V
revertible	revert:revert_to_V ible:ible_s
revivalist	reviv:revive_V al:al_s ist:ist_s
revoking	revok:revoke_V ing:+PCP1
revolt	revolt:revolt_V, revolt:revolt_V
ribald	ribald:ribald_A, ribald:ribald_A
ribaldry	ribald:ribald_A ry:ry_s
rigidity	rigid:rigid_A ity:ity_s
rigorous	rig:rigid_A or:our_s ous:ous_s
risings	rising:rising_V s:+PL
roadbeds	road:road_N bed:bed_N s:+PL
robin's	robin:robin_N 's:+GEN
rodeo's	rodeo:rodeo_N 's:+GEN
rods'	rod:rod_N s:+PL ':+GEN
roll-on	roll:roll_V -:~ on:on_P
roman's	rom:Rome_N an:an_s 's:+GEN
roughhouse	rough:rough_A house:house_N, rough:rough_A house:house_N
roused	rous:rouse_V ed:+PAST
ruffles	ruffle:ruffle_V s:+PL, ruffle:ruffle_V s:+3SG
ruinously	ruin:ruin_V ous:ous_s ly:ly_s
rum's	rum:rum_N 's:+GEN
ruminated	ruminat:ruminate_V ed:+PAST
rumpling	rumpl:rumple_V ing:+PCP1
sabah	sabah:Sabah_N
sackbuts	sackbut:sackbut_N s:+PL
safeguard	safe:safe_A guard:guard_N, safe:safe_A guard:guard_N
salad-dressings	salad:salad_N -:~ dressing:dressing_V s:+PL
saleroom	sale:sale_N room:room_N
sales	sale:sale_N s:+PL, sales:sales_N
salesclerk's	sales:sales_N clerk:clerk_N 's:+GEN
salon's	salon:salon_N 's:+GEN
salvoes	salvo:salvo_N es:+PL
samplers	sampl:sample_V er:er_s s:+PL
sanitaria	sanitaria:sanitarium_N ~:+PL
saturn's	saturn:Saturn_N 's:+GEN
saxons'	saxon:Saxon_N s:+PL ':+GEN
scallops	scallop:scallop_N s:+PL, scallop:scallop_N s:+3SG
scantier	scant:scant_A i:y_s er:+CMP
sceptics	sceptic:sceptic_N s:+PL
schedules	schedule:schedule_V s:+PL, schedule:schedule_V s:+3SG
schnitzels	schnitzel:schnitzel_N s:+PL
scholarly	schol:school_N ar:ar_s ly:ly_s
schoolgirls'	school:school_N girl:girl_N s:+PL ':+GEN
schoolmistress'	school:school_N mistress:mistress_N ':+GEN
scullion	scullion:scullion_N
se	se:SE
sea-legs	sea:sea_N -:~ legs:legs_N
sea-lion	sea:sea_N -:~ lion:lion_N
seaborne	sea:sea_N borne:borne_V
season's	season:season_N 's:+GEN
seasonings'	seasoning:seasoning_V s:+PL ':+GEN
secretarial	secretari:secretary_N al:al_s
sees'	see:see_N s:+PL ':+GEN
seize	seize:seize_V
self-will	self:self_p -:~ will:will_V
septembers	september:September_N s:+PL
sequel's	sequel:sequel_N 's:+GEN
serialize	seri:series_N al:al_s ize:ize_s
serially	seri:series_N al:al_s ly:ly_s
servers'	serv:serve_V er:er_s s:+PL ':+GEN
sevenths	seven:seven_Q th:th_s s:+PL
seychellois	seychellois:Seychellois_A, seychellois:Seychellois_A
sforzandi	sforzandi:sforzando_A ~:+PL
shallower	shallow:shallow_A er:+CMP
shank's	shank:shank_N 's:+GEN
sheilas	sheila:sheila_N s:+PL
shoestring's	shoe:shoe_N string:string_N 's:+GEN
shoplifters	shop:shop_N lift:lift_V er:er_s s:+PL
shoplifts	shop:shop_N lift:lift_V s:+3SG
short-circuit	short:short_A -:~ circuit:circuit_N, short:short_A -:~ circuit:circuit_N
showering	shower:shower_N ing:+PCP1
sideswipes	side:side_N swipe:swipe_V s:+PL, side:side_N swipe:swipe_V s:+3SG
sidings	siding:siding_V s:+PL
silents'	silent:silent_A s:+PL ':+GEN
silo	silo:silo_N
simulates	simulate:simulate_V s:+3SG
sinfully	sin:sin_V ful:ful_s ly:ly_s
sip	sip:sip_V, sip:sip_V
skied	ski:sky_N ed:+PAST
skimmed-milk	skimmed:skimmed_V -:~ milk:milk_N
skins'	skin:skin_N s:+PL ':+GEN
skulked	skulk:skulk_V ed:+PAST
slacking	slack:slack_A ing:+PCP1
sleazy	sleazy:sleazy_A
slices	slice:slice_V s:+PL, slice:slice_V s:+3SG
slickly	slick:slick_A ly:ly_s
slotted	slott:slot_N ed:+PAST
slough	slough:slough_N
sniffs	sniff:sniff_V s:+PL, sniff:sniff_V s:+3SG
snook's	snook:snook_N 's:+GEN
soap's	soap:soap_N 's:+GEN
solution's	sol:solve_V ution:ution_s 's:+GEN
sopping	sopp:sop_N ing:+PCP1, sopping:sopping_V, sopping:sopping_V
sou	sou:sou_N
speakerships	speak:speak_V er:er_s ship:ship_s s:+PL
speculated	speculat:speculate_V ed:+PAST
splashes	splash:splash_V es:+PL, splash:splash_V es:+3SG
spread	spread:spread_V, spread:spread_V
spreads	spread:spread_V s:+PL, spread:spread_V s:+3SG
squeaker	squeak:squeak_V er:er_s
squeakers	squeak:squeak_V er:er_s s:+PL
squints	squint:squint_V s:+PL, squint:squint_V s:+3SG
squinty	squint:squint_V y:y_s
stable	stable:stable_A, stable:stable_N, stable:stable_N
stage-whispers	stage:stage_N -:~ whisper:whisper_V s:+PL
stalwart	stalwart:stalwart_A, stalwart:stalwart_A
standpoint	stand:stand_V point:point_N
starkers	starkers:starkers_A
statements'	state:state_V ment:ment_s s:+PL ':+GEN
stationer	station:station_N er:er_s
statues'	statue:statue_N s:+PL ':+GEN
statuette	statu:statue_N ette:ette_s
